X,Y,OBJECTID,Block,Lot,PermitNum,VBN,DateIssue,DateIssued,ExistingUse,ProposedUse,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address,GlobalID
-8532738.47367338,4766092.27840833,1,0001,006,USE2022-52301,Y,2023/01/05 08:30:02+00,Jan  5 2023  8,3-42,3-50,I,7,EASTERWOOD                               ,0001 006,2035 W NORTH AVE,ef8bf022-fa79-45ac-83a6-5c0ae2259544
-8532650.45808079,4766017.89754551,2,0001,029,USE2017-54344,Y,2018/01/03 13:30:02+00,Jan  3 2018  1,1-08,1-08,I,7,EASTERWOOD                               ,0001 029,1804 N PAYSON ST,21b41e06-3515-49ed-90a4-bf826c07bd60
-8532751.06235587,4766024.05951379,3,0001,038,USE2019-55516,Y,2019/11/13 15:00:29+00,Nov 13 2019  3,1-08,1-08,I,7,EASTERWOOD                               ,0001 038,1809 N PULASKI ST,dd1b140b-b0e4-472e-9ac3-64017543589b
-8532454.1650036,4766108.23254469,4,0002,016,USE2020-51648,Y,2020/06/16 07:30:21+00,Jun 16 2020  7,1-08,1-08,I,7,EASTERWOOD                               ,0002 016,1903 W NORTH AVE,50c461ef-2804-4696-9d9c-2e5b9334bbd7
-8532459.51193,4766107.87908563,5,0002,017,USE2017-54634,Y,2018/05/03 13:30:01+00,May  3 2018  1,1-08,1-08,I,7,EASTERWOOD                               ,0002 017,1905 W NORTH AVE,1f9350b7-f4ee-4865-b564-2a29b27b1276
-8532471.00192829,4766107.13260063,6,0002,019,USE2016-05926,Y,2019/06/20 00:00:00+00,Jun 20 2019 12,MIXC,MIXC,I,7,EASTERWOOD                               ,0002 019,1909 W NORTH AVE,88e24971-b00f-43f7-88a5-813c7a16b063
-8532476.61860087,4766106.74959124,7,0002,020,USE2015-04342,Y,2016/06/15 08:41:11+00,Jun 15 2016  8,MIXC,MIXC,I,7,EASTERWOOD                               ,0002 020,1911 W NORTH AVE,957ee767-99e5-492f-a469-a64d3f60a301
-8532593.2022089,4766042.60712338,8,0002,047,USE2021-51412,Y,2021/07/09 15:30:02+00,Jul  9 2021  3,1-11,1-11,I,7,EASTERWOOD                               ,0002 047,1813 N PAYSON ST,b2e2e0ed-c5a0-4cc3-9201-99ce68a32fec
-8532200.69236833,4766056.46653312,9,0004,006,USE2021-55706,Y,2022/08/29 12:30:02+00,Aug 29 2022 12,1-08,1-08,I,7,SANDTOWN-WINCHESTER                      ,0004 006,1811 N FULTON AVE,626f3ff1-a1c7-4da2-8c1e-1ee10fad7f2e
-8532189.43090318,4766080.46035346,10,0004,010,USE2019-53083,Y,2019/11/26 15:00:46+00,Nov 26 2019  3,1-08,1-08,I,7,SANDTOWN-WINCHESTER                      ,0004 010,1819 N FULTON AVE,1f51c3cf-dfed-4038-bd01-f2ce9dacf360
-8531949.69663222,4766141.16494205,11,0005,001,USE2021-51975,Y,2022/01/12 09:30:03+00,Jan 12 2022  9,3-52,3-52,J,7,SANDTOWN-WINCHESTER                      ,0005 001,1641 W NORTH AVE,c2682e00-5447-48c6-be58-512990638191
-8532019.9496323,4766095.95403248,12,0005,055,USE2019-53739,Y,2020/03/05 13:30:24+00,Mar  5 2020  1,1-08,1-08,J,7,SANDTOWN-WINCHESTER                      ,0005 055,1818 N WOODYEAR ST,c377700f-4082-44b0-947b-9028d65180b0
-8532667.52557802,4765888.70973192,13,0006,031,USE2022-51470,Y,2022/07/23 07:00:04+00,Jul 23 2022  7,1-08,1-08,I,7,EASTERWOOD                               ,0006 031,2000 PRESBURY ST,124b8248-5099-49ff-9a3b-bfb63d415415
-8532689.43458523,4765887.67781459,14,0006,035,USE2016-01775,Y,2016/05/18 00:00:00+00,May 18 2016 12,SF,SF,I,7,EASTERWOOD                               ,0006 035,2008 PRESBURY ST,76062310-9ee6-4dd0-85d9-7e37e4964a79
-8532453.39189352,4765908.79995628,15,0007,006,USE2016-03252,Y,2016/07/29 14:41:17+00,Jul 29 2016  2,SF,SF,I,7,EASTERWOOD                               ,0007 006,1710 N MONROE ST,cb5dc260-a450-4924-b80c-db9fbc4047f6
-8532490.82210461,4765880.02401229,16,0007,039,USE2016-01074,Y,2017/12/15 00:00:00+00,Dec 15 2017 12,SF,SF,I,7,EASTERWOOD                               ,0007 039,1701 APPLETON ST,ffe84bf2-4c59-443a-9d5f-e8ebc8af6a6d
-8532547.7996263,4765877.48515233,17,0007,040,USE2020-51972,Y,2020/08/26 08:30:02+00,Aug 26 2020  8,1-11,1-08,I,7,EASTERWOOD                               ,0007 040,1700 APPLETON ST,53aca5db-8030-4438-91da-cd8209c696bf
-8532550.54984588,4765947.36468332,18,0007,053,USE2016-00190,Y,2016/03/03 00:00:00+00,Mar  3 2016 12,VAC,SF,I,7,EASTERWOOD                               ,0007 053,1726 APPLETON ST,fc4a0d0f-0311-4286-810b-92fd4b0660d7
-8532266.90838938,4765929.98883931,19,0008,008,USE2021-52315,Y,2022/04/13 12:00:05+00,Apr 13 2022 12,7-03,1-08,I,7,SANDTOWN-WINCHESTER                      ,0008 008,1714 N FULTON AVE,4c9bf531-9944-4fa9-9f42-159da7886d3b
-8532302.04436973,4765897.61687658,20,0008,022,USE2017-53638,Y,2017/11/08 15:00:02+00,Nov  8 2017  3,1-08,1-08,I,7,SANDTOWN-WINCHESTER                      ,0008 022,1705 MCKEAN AVE,51c56d61-fa70-4dd4-9a78-b0333246c61f
-8532305.87201617,4765981.45479068,21,0008,039,USE2016-00831,Y,2016/03/07 00:00:00+00,Mar  7 2016 12,SF,SF,I,7,SANDTOWN-WINCHESTER                      ,0008 039,1739 MCKEAN AVE,1c0c5e5f-2818-4a4f-8533-6467af162acb
-8532136.75276747,4765908.49468346,22,0009,054,USE2018-55740,Y,2019/01/25 13:30:05+00,Jan 25 2019  1,1-08,1-08,I,7,SANDTOWN-WINCHESTER                      ,0009 054,1718 PRESBURY ST,76b42560-125f-44d2-bc14-a0e88d90aae2
-8532009.22092781,4765945.24130616,23,0010,013,USE2022-53277,Y,2023/01/09 14:00:04+00,Jan  9 2023  2,1-08,1-08,I,7,SANDTOWN-WINCHESTER                      ,0010 013,1726 N CALHOUN ST,fdd734e4-3506-495d-9ad2-bf5fd30c0195
-8532032.23838704,4765969.19092304,24,0010,020,USE2022-52982,Y,2022/04/25 13:00:05+00,Apr 25 2022  1,1-08,1-08,I,7,SANDTOWN-WINCHESTER                      ,0010 020,1740 N CALHOUN ST,485d76e4-26dc-4116-a205-0f32b60f46c7
-8532580.74516046,4765757.72360356,25,0012,002D,USE2020-55653,Y,2021/02/09 15:00:04+00,Feb  9 2021  3,1-08,1-08,I,7,EASTERWOOD                               ,0012 002D,1619 N PAYSON ST,0a1e041e-5338-4e84-a95a-3df672ad2d87
-8532582.25024746,4765794.40709881,26,0012,007,USE2021-54153,Y,2021/10/26 16:30:04+00,Oct 26 2021  4,7-03,1-08,I,7,EASTERWOOD                               ,0012 007,1633 N PAYSON ST,c7c40498-5059-4750-a4f8-cc4dfc54da3a
-8532583.88894312,4765833.11311192,27,0012,014,USE2020-51580,Y,2020/04/03 13:00:10+00,Apr  3 2020  1,1-08,1-08,I,7,EASTERWOOD                               ,0012 014,1647 N PAYSON ST,6c75ebc8-c446-411d-8e54-1b01cc31e6b2
-8532486.76034869,4765837.813382,28,0012,070,USE2015-03483,Y,2015/08/20 00:00:00+00,Aug 20 2015 12,VAC,SF,I,7,EASTERWOOD                               ,0012 070,1651 APPLETON ST,adfff93d-8b62-4693-92a8-c8613ce7da0d
-8532443.80241726,4765734.49466977,29,0012,094,USE2020-55929,Y,2021/06/28 00:00:00+00,Jun 28 2021 12,1-08,1-08,I,7,EASTERWOOD                               ,0012 094,1612 N MONROE ST,97adb99f-f650-4e9d-b0d2-8aec7bf72ff3
